geneID,45_highdata,90_highdata,180_highdata,360_highdata,720_highdata,1440_highdata,45_lowdata,90_lowdata,180_lowdata,360_lowdata,720_lowdata,1440_lowdata,estm,pred
EMG1,0.561525578,0.679590565,0.878049908,0.891501039,1.002490143,1.004132274,0.87790136,0.875472257,0.889505149,0.939078961,0.91818725,1.0148163,inhibition,1
EML4,0.671002437,0.818895831,0.832492204,0.943596199,0.978423338,1.120686066,0.835679001,0.901983171,0.887969637,0.852243007,0.969430437,1.120816705,inhibition,1
EMP1,0.617016681,0.765217114,1.000800067,1.062278024,1.102951482,1.137722497,0.521614823,0.691207748,1.030277694,0.974442774,0.974336418,1.05741748,inhibition,1
EMP2,0.389168105,0.491172052,0.830780518,0.976794268,0.978183127,1.040454204,0.597763555,0.654088064,0.846296987,1.054421588,0.937358466,1.017894993,inhibition,1
ENG,0.606975344,0.731119214,0.831229834,0.858708787,0.863939048,0.914129708,0.723714221,0.829667457,1.042868067,0.99142225,0.930390176,0.956560637,inhibition,1
ENO1,0.599527615,0.645821125,0.75114669,0.912952058,0.970983301,1.005028629,0.776891956,0.783948377,0.832386954,0.913903975,0.979667186,1.014146962,inhibition,1
ENOPH1,0.4514923,0.56859613,0.750393286,0.86824231,1.100163455,1.108669615,0.769367905,0.826625089,0.775838494,0.767931572,1.068448867,0.96514192,inhibition,1
ENTPD6,0.674051908,0.874246314,0.88675535,0.965165398,0.989004945,0.993437721,0.896910634,0.977247625,1.181412457,1.110804923,1.123896212,0.99876095,inhibition,1
EPB41L4A,0.471924597,0.496969867,0.578636618,0.650793024,1.012923648,1.157086273,1.052590748,0.955030743,0.620578672,0.783927814,0.928140986,0.999757478,inhibition,1
EPB41L4B,0.650374958,0.83158115,0.944667106,0.97628027,0.989841262,0.991875693,0.728113138,0.959045019,0.816486262,0.966098736,1.014022201,0.947054155,inhibition,1
EPC1,0.694053841,0.793874719,0.825256791,0.839113245,0.878589018,0.891694425,0.651659211,0.916624536,0.783840225,0.772197029,0.850883256,0.819244969,inhibition,1
EPGN,0.219239919,0.331187526,0.524457101,0.622866473,0.800188721,0.971234713,0.640579951,0.823502131,0.780948556,0.660476105,0.731369051,0.997215924,inhibition,1
EPHX4,0.435886776,0.672159163,0.974799076,0.998102089,1.004252027,1.146779915,0.720366517,1.026857481,1.178584145,0.83152558,1.028555256,0.905431505,inhibition,1
EPPK1,0.48717938,0.545419454,0.630717381,0.685510427,0.74522692,0.788564268,0.786371852,0.743795824,0.873696749,0.746040918,0.825627447,0.85824171,inhibition,1
EPS15L1,0.586840787,0.590434257,0.699241173,0.768044334,0.773658143,0.825306838,0.681628916,0.727205508,0.770606649,0.886591154,0.783843861,0.853093743,inhibition,1
EPT1,0.442845358,0.728145507,0.959541021,0.962192621,0.962857507,0.98698196,0.657208638,0.832036116,0.897125201,1.000031202,1.073466771,1.01709889,inhibition,1
ERCC2,0.509918968,0.571932521,0.687426209,0.859438392,0.915644072,0.954125421,0.591559164,0.770462618,0.778431217,0.949749466,0.940860942,1.041030135,inhibition,1
ERCC3,0.665114615,0.76083482,0.87699883,0.956020755,0.970396357,1.000100257,0.721948195,0.821953695,0.861709331,0.967540447,1.062534477,1.061145831,inhibition,1
ERCC6,0.818566957,0.880191198,0.891665644,0.91310118,0.946705945,0.96922176,0.866429759,0.654013927,0.918680637,0.91345367,0.988620541,0.973446718,inhibition,1
ERCC6L,0.190339991,0.539402894,0.746738642,1.005593297,1.032479053,1.054708282,0.4061667,0.522029107,0.777347353,0.854686659,0.966095917,0.935081298,inhibition,1
ERGIC2,0.669428958,0.705581721,0.929034073,1.027108944,1.121349895,1.126648852,0.887029361,0.840923883,1.024899504,1.013400944,1.024909427,1.002705261,inhibition,1
ERH,0.448527183,0.634696591,0.820212703,0.974114258,1.067232807,1.099468994,0.687634297,0.773715899,0.949143782,0.918924397,1.004954145,0.941023674,inhibition,1
ERI1,0.497401242,0.738019696,0.949996579,0.965453006,0.990609319,1.019007163,0.67742704,0.880990057,0.94538933,0.805621145,0.912995863,1.045142318,inhibition,1
ERLIN1,0.640373262,0.834912009,0.912867049,0.948397306,0.966315479,0.982365664,0.851518735,1.015037287,0.895311955,1.015688246,0.974325345,1.033630113,inhibition,1
ERVMER341,0.376815449,0.378069924,0.654510249,0.775120123,0.894380488,0.938891217,0.501079664,0.558862537,0.68419821,0.842163245,0.969826495,1.000784703,inhibition,1
ESF1,0.511791962,0.530597256,0.66845985,0.763969554,0.790106793,0.958511561,0.762207661,0.848068028,0.780009632,0.743655729,0.846786565,0.993332629,inhibition,1
ESRRA,0.664842444,0.693346733,0.740891456,0.825773164,0.883045956,0.957532793,0.834293896,0.802184037,0.965453794,1.091500456,0.961803905,0.904836552,inhibition,1
ETF1,0.631810727,0.685508845,0.790359275,0.928394641,1.0275703,1.038711728,0.823730698,0.881147491,0.818751988,0.807125509,0.990282076,0.918534934,inhibition,1
ETFA,0.621682315,0.74876881,0.836624621,0.869343104,0.924491998,0.934757308,0.864616941,0.884371533,0.850973351,0.841962608,0.951706406,0.900419208,inhibition,1
EXOSC2,0.471483592,0.49030597,0.709398889,0.833567508,0.912344496,0.966802166,0.827242433,0.681072008,0.867491623,0.899350781,0.914856266,0.987921192,inhibition,1
EXOSC3,0.436708775,0.53571774,0.740158204,0.816323554,0.871156825,0.896020045,0.695698308,0.624210261,0.82808183,0.863836682,0.875791689,0.896609497,inhibition,1
EXOSC7,0.625002817,0.79453011,0.901692423,0.962400795,1.110567011,1.128545338,0.86889658,0.964523812,1.031076149,1.077739398,1.121090791,1.105077715,inhibition,1
EXOSC9,0.53058312,0.684138471,0.896412217,0.978607692,1.003233179,1.014243749,0.784427502,0.803062398,0.939954645,0.954126808,0.990614464,1.018996726,inhibition,1
EZH2,0.56928808,0.867642554,0.912918234,1.024513723,1.038637534,1.133026319,0.691271226,0.891189947,0.969941158,1.087112098,1.080604693,1.109927591,inhibition,1
EZR,0.65264955,0.731754964,0.80564975,0.935599384,0.997115924,1.004602672,0.854953597,0.881516198,0.879754865,0.915504453,0.964513374,0.979436754,inhibition,1
FAF1,0.578091786,0.774093727,0.815707312,0.894978276,0.98216909,1.075650687,0.824680661,0.902111141,0.894524389,0.780746814,0.988558678,0.94390867,inhibition,1
